granuleID,SensingTime,VEG-IND,VEG-ANOM,VBaseline,VBaselineCount,NDVI,NDVIbaseline
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230102T141711Z_20231221T041639Z_S2A_30_v1_VEG-DIST-STATUS,20230102,255,255,14,0,20,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230104T142143Z_20231221T041650Z_L8_30_v1_VEG-DIST-STATUS,20230104,21,0,14,0,18,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230105T141535Z_20231221T041702Z_L9_30_v1_VEG-DIST-STATUS,20230105,22,0,14,0,18,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230105T142711Z_20231221T041714Z_S2A_30_v1_VEG-DIST-STATUS,20230105,255,255,14,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230107T141709Z_20231221T041726Z_S2B_30_v1_VEG-DIST-STATUS,20230107,255,255,14,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230110T142709Z_20231221T041737Z_S2B_30_v1_VEG-DIST-STATUS,20230110,255,255,17,0,16,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230112T141711Z_20231221T041749Z_S2A_30_v1_VEG-DIST-STATUS,20230112,255,255,17,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230112T142143Z_20231221T041800Z_L9_30_v1_VEG-DIST-STATUS,20230112,12,5,17,0,18,4
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230115T142711Z_20231221T041812Z_S2A_30_v1_VEG-DIST-STATUS,20230115,255,255,18,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230120T142137Z_20231221T041824Z_L8_30_v1_VEG-DIST-STATUS,20230120,255,255,18,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230120T142709Z_20231221T041836Z_S2B_30_v1_VEG-DIST-STATUS,20230120,255,255,18,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230121T141526Z_20231221T041848Z_L9_30_v1_VEG-DIST-STATUS,20230121,17,1,18,0,17,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230122T141711Z_20231221T041900Z_S2A_30_v1_VEG-DIST-STATUS,20230122,255,255,18,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230125T142711Z_20231221T041911Z_S2A_30_v1_VEG-DIST-STATUS,20230125,255,255,21,0,15,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230127T141709Z_20231221T041922Z_S2B_30_v1_VEG-DIST-STATUS,20230127,31,0,21,0,17,2
