granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230106T071154Z_20231221T213129Z_L8_30_v1_VEG-DIST-STATUS,20230106,2023-12-21 21:31:29,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230107T070546Z_20231221T213140Z_L9_30_v1_VEG-DIST-STATUS,20230107,2023-12-21 21:31:40,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230110T073159Z_20231221T213151Z_S2B_30_v1_VEG-DIST-STATUS,20230110,2023-12-21 21:31:51,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230112T072251Z_20231221T213203Z_S2A_30_v1_VEG-DIST-STATUS,20230112,2023-12-21 21:32:03,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230114T071153Z_20231221T213215Z_L9_30_v1_VEG-DIST-STATUS,20230114,2023-12-21 21:32:15,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230115T070538Z_20231221T213227Z_L8_30_v1_VEG-DIST-STATUS,20230115,2023-12-21 21:32:27,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230115T073241Z_20231221T213239Z_S2A_30_v1_VEG-DIST-STATUS,20230115,2023-12-21 21:32:39,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230117T072229Z_20231221T213251Z_S2B_30_v1_VEG-DIST-STATUS,20230117,2023-12-21 21:32:51,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230120T073129Z_20231221T213304Z_S2B_30_v1_VEG-DIST-STATUS,20230120,2023-12-21 21:33:04,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230122T071150Z_20231221T213317Z_L8_30_v1_VEG-DIST-STATUS,20230122,2023-12-21 21:33:17,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230122T072211Z_20231221T213330Z_S2A_30_v1_VEG-DIST-STATUS,20230122,2023-12-21 21:33:30,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230123T070539Z_20231221T213342Z_L9_30_v1_VEG-DIST-STATUS,20230123,2023-12-21 21:33:42,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230125T073201Z_20231221T213354Z_S2A_30_v1_VEG-DIST-STATUS,20230125,2023-12-21 21:33:54,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230127T072149Z_20231221T213407Z_S2B_30_v1_VEG-DIST-STATUS,20230127,2023-12-21 21:34:07,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230130T071156Z_20231221T213419Z_L9_30_v1_VEG-DIST-STATUS,20230130,2023-12-21 21:34:19,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230130T073049Z_20231221T213431Z_S2B_30_v1_VEG-DIST-STATUS,20230130,2023-12-21 21:34:31,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T39TYL_20230131T070542Z_20231221T213443Z_L8_30_v1_VEG-DIST-STATUS,20230131,2023-12-21 21:34:43,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
