ID,Stratum,landcover,alertstrata,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS,GlobalForestChangeYear(Hansen2013)
1,4,1,4,29.95594033,30.88615709,35,782586.3855,3420729.384,19420,185975,782595,3420735,35RQQ,0
2,3,1,3,-99.33619471,30.37277401,14,467696.5791,3360140.826,8923,191329,467685,3360135,14RMU,0
3,3,1,3,90.6091859,23.37899156,46,255626.1741,2587498.994,1854,217084,255615,2587485,46QBL,0
4,4,1,4,38.3257317,6.117632604,37,425393.5656,676254.7443,7513,277458,425385,676245,37NDG,0
5,3,1,3,43.70374513,15.61455598,38,361038.698,1726723.624,5368,245776,361035,1726725,38PLC,0
6,3,1,3,39.20617892,-15.08206913,37,522157.339,-1667413.61,10739,355580,522165,-1667415,37LED,0
7,5,1,5,33.82888523,-1.658432218,36,592199.0289,-183326.4056,13073,269444,592185,-183315,36MWD,0
8,2,1,2,33.03780841,-9.025089335,36,504155.3866,-997626.2012,10139,296588,504165,-997635,36LWR,0
9,3,1,3,6.240608593,36.74250515,32,253627.4695,4069858.894,1788,117672,253635,4069845,32SKF,0
10,2,1,2,20.47929756,43.88841318,34,458174.9592,4859611.016,8606,104680,458175,4859625,34TDP,0
11,3,1,3,65.80635444,39.09959067,41,742686.1766,4331578.353,18090,158948,742695,4331565,41SQD,0
12,3,1,3,-97.41550449,19.8073556,14,665963.6232,2190941.272,15532,230302,665955,2190945,14QPH,0
13,5,1,5,116.7533016,41.07420267,50,479275.5644,4547023.63,9309,131766,479265,4547025,50TML,0
14,4,1,4,116.9073522,30.30131073,50,491091.4459,3352177.423,9703,171594,491085,3352185,50RMU,0
15,2,1,2,-77.62012229,43.08543238,17,775117.1565,4775848.307,19171,150805,775125,4775835,17TQH,0
16,3,1,3,119.6308058,-33.49642282,50,744407.2649,-3709420.634,18147,406981,744405,-3709425,50HQJ,0
17,2,1,2,121.4796386,31.17802564,51,355119.476,3450327.198,5171,161657,355125,3450315,51RUQ,0
18,5,1,5,115.6054817,28.53298224,50,363560.6117,3157039.055,5452,178099,363555,3157035,50RLS,0
19,3,1,3,119.9575056,32.5366146,50,777765.373,3603775.691,19259,163208,777765,3603765,50SQB,0
20,3,1,3,-117.1407624,33.13882158,11,486871.1847,3666685.705,9563,171111,486885,3666675,11SMS,0
21,4,1,4,75.10621405,24.95993211,43,510721.5066,2760515.293,10358,207982,510735,2760525,43REH,0
22,3,1,3,128.1105589,45.9492877,52,431065.7126,5088797.607,7702,103707,431055,5088795,52TDR,0
23,5,1,5,31.16051622,39.51653577,36,341875.253,4375715.09,4729,117476,341865,4375725,36SUJ,0
24,3,1,3,0.359201418,44.257732,30,768156.5758,4905988.435,18939,69801,768165,4905975,30TYQ,0
25,4,1,4,116.3898955,34.13035747,50,443743.9834,3776777.964,8125,157441,443745,3776775,50SMC,0
26,2,1,2,121.5047531,30.13452934,51,355973.642,3334636.064,5199,165513,355965,3334635,51RUP,0
27,4,1,4,-93.97626713,30.21046917,15,406038.3582,3342510.238,6868,195250,406035,3342525,15RVP,0
28,2,1,2,16.57212828,60.51266227,33,586323.8422,6709538.443,12878,76348,586335,6709545,33VWH,0
29,5,1,5,97.23873662,20.22368493,47,316002.0827,2237212.424,3867,228760,316005,2237205,47QLC,0
30,2,1,2,46.87030234,24.8808343,38,688935.1184,2753050.525,16298,211565,688935,2753055,38RPN,0
31,2,1,2,-80.5904915,40.97319923,17,534454.2799,4535862.665,11149,158804,534465,4535865,17TNF,0
32,3,1,3,-8.357182934,43.30151041,29,552138.1076,4794498.495,11738,143517,552135,4794495,29TNJ,0
33,4,1,4,116.8186999,34.59665882,50,483375.288,3828330.482,9446,155722,483375,3828345,50SMD,0
34,4,1,4,104.2505281,25.31778109,48,424565.3181,2800346.941,7486,203323,424575,2800335,48RVP,0
35,3,1,3,79.66455793,11.62447355,44,354414.6757,1285371.12,5147,257154,354405,1285365,44PLT,0
36,4,1,4,30.86332703,0.990111178,36,262221.5984,109513.7827,2074,259683,262215,109515,36NTG,0
37,2,1,2,117.8574537,32.90557924,50,580186.201,3641145.502,12673,161962,580185,3641145,50SNB,0
