stratum	count	area	K	zcount
0	0	0	0	0
1	4328110543	2713118.606	1740.129176	2934048207
2	118329216	74454.62693	47.69218748	80310832
3	1512569284	945883.4646	605.8295813	1021478690
4	766420421	497986.6006	329.6483265	536482449
5	60262942	37888.08769	24.46120096	40538962
6	43070807792	24868834.3	15583.26612	26688842775
7	458641672	269742.0189	169.6478815	291580248
8	15429631501	8582187.042	5197.284365	9224841771
9	2665681002	1693439.077	1132.874668	1825038521
10	490578878	257492.2172	147.4292305	278010617
11	4045108697	2350767.189	1475.701969	2533733879
12	97698264	54463.51303	33.04831552	59206873
13	1306462298	758837.9098	473.5161399	819623229
14	507263472	326002.0673	219.7532408	351582877
15	160454170	102450.4976	68.49386262	110831359
16	9337463055	5689212.394	3564.776267	6170076215
17	1416000815	829647.2107	497.2864804	901477147
18	3167501127	1946965.3	1231.747799	2112664094
19	3525434640	2193464.888	1398.410704	2388467321
20	777629950	462649.5495	282.9446953	503030455
21	9287030472	3583094.281	1626.82338	3806250713
22	256296716	147935.4736	93.16283239	160451139
23	4306690371	1668122.397	745.6037959	1776014065
24	1275942265	691851.4818	416.972079	748342406
25	255251714	139372.997	84.27786703	150908124
26	23732274118	12437730.86	7288.224193	13313539326
27	715616995	441739.2054	287.7620143	477420143
28	9844062986	5024586.979	2869.01077	5381010373
29	5175728453	3334916.402	2245.033467	3595229581
30	698698840	420662.5115	271.1207991	453471406
31	34054455808	19352070	11794.40442	20939625026
32	3515416302	2287106.282	1526.76154	2471434284
33	4053307223	2197099.183	1305.588335	2365087980
34	3051111415	2006174.128	1351.393328	2178482879
35	79020387	53777.96089	37.456143	58347183
36	37163479231	22174831.17	14244.08013	24614575437
37	1899415890	1150140.287	737.7939694	1274429505
38	703695625	244491.3573	111.0973891	302922739
39	137592750	51332.55404	25.17664347	60084867
40	16191990	7011.71724	3.87826574	8581254
